"","x"
"1","[1] 0.8022681"
"2","[1] 0.8260056"
"3","[1] 0.834301"
"4","[1] 0.8485414"
"5","[1] 0.8566591"
"6","[1] 0.871861"
"7","[1] 0.8750948"
"8","[1] 0.8794649"
"9","[1] 0.8982068"
"10","[1] 0.9070402"
"11","[1] 0.9087809"
"12","[1] 0.909765"
"13","[1] 0.9104499"
"14","[1] 0.9109032"
"15","[1] 0.9147284"
"16","[1] 0.9166763"
"17","[1] 0.9204195"
"18","[1] 0.9236095"
"19","[1] 0.9243365"
"20","[1] 0.9283107"
"21","[1] 0.930324"
"22","[1] 0.9314981"
"23","[1] 0.9321461"
"24","[1] 0.933624"
"25","[1] 0.9338427"
"26","[1] 0.9354312"
"27","[1] 0.9354964"
"28","[1] 0.93565"
"29","[1] 0.9357962"
"30","[1] 0.9371251"
"31","[1] 0.9374389"
"32","[1] 0.9376591"
"33","[1] 0.9384807"
"34","[1] 0.9388839"
"35","[1] 0.9393293"
"36","[1] 0.939988"
"37","[1] 0.9417126"
"38","[1] 0.9419035"
"39","[1] 0.9419681"
"40","[1] 0.9424561"
"41","[1] 0.9425371"
"42","[1] 0.9429288"
"43","[1] 0.9429922"
"44","[1] 0.9433597"
"45","[1] 0.943452"
"46","[1] 0.9438081"
"47","[1] 0.9438403"
"48","[1] 0.9459367"
"49","[1] 0.9466503"
"50","[1] 0.9468345"
"51","[1] 0.9470291"
"52","[1] 0.9471651"
"53","[1] 0.9472424"
"54","[1] 0.9474984"
"55","[1] 0.9483825"
"56","[1] 0.9484072"
"57","[1] 0.948581"
"58","[1] 0.9491327"
"59","[1] 0.949605"
"60","[1] 0.9505337"
"61","[1] 0.9511369"
"62","[1] 0.9511393"
"63","[1] 0.9512574"
"64","[1] 0.9518091"
"65","[1] 0.9520555"
"66","[1] 0.9526295"
"67","[1] 0.9535308"
"68","[1] 0.9535852"
"69","[1] 0.953762"
"70","[1] 0.9540905"
"71","[1] 0.9550528"
"72","[1] 0.9550821"
"73","[1] 0.9557722"
"74","[1] 0.9566433"
"75","[1] 0.9569475"
"76","[1] 0.9569756"
"77","[1] 0.9574331"
"78","[1] 0.9574383"
"79","[1] 0.9576485"
"80","[1] 0.9583987"
"81","[1] 0.9591657"
"82","[1] 0.9593458"
"83","[1] 0.9605191"
"84","[1] 0.9620273"
"85","[1] 0.9623409"
"86","[1] 0.9627052"
"87","[1] 0.9628419"
"88","[1] 0.9637109"
"89","[1] 0.9645266"
"90","[1] 0.9660201"
"91","[1] 0.9660432"
"92","[1] 0.9665023"
"93","[1] 0.9703527"
"94","[1] 0.9708185"
"95","[1] 0.9724295"
"96","[1] 0.9740479"
"97","[1] 0.9741039"
"98","[1] 0.9747618"
"99","[1] 0.9747958"
